[2020-05-23T06:00:06.316+0000][364][gc,age       ] GC(0) Desired survivor size 17432576 bytes, new threshold 6 (max threshold 6)
[2020-05-23T06:00:06.316+0000][364][gc,age       ] GC(0) Age table with threshold 6 (max threshold 6)
[2020-05-23T06:00:06.316+0000][364][gc,age       ] GC(0) - age   1:    8242056 bytes,    8242056 total
[2020-05-23T06:00:06.316+0000][364][gc,heap      ] GC(0) ParNew: 272640K->8144K(306688K)
[2020-05-23T06:00:06.316+0000][364][gc,heap      ] GC(0) CMS: 0K->0K(707840K)
[2020-05-23T06:00:06.316+0000][364][gc,metaspace ] GC(0) Metaspace: 15820K->15820K(1064960K)
[2020-05-23T06:00:06.316+0000][364][gc           ] GC(0) Pause Young (Allocation Failure) 266M->7M(990M) 14.173ms
[2020-05-23T06:00:06.316+0000][364][gc,cpu       ] GC(0) User=0.05s Sys=0.00s Real=0.01s
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0143040 seconds, Stopping threads took: 0.0000178 seconds
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Application time: 0.0002001 seconds
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001438 seconds, Stopping threads took: 0.0000766 seconds
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Application time: 0.0000317 seconds
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:06.316+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000586 seconds, Stopping threads took: 0.0000152 seconds
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Application time: 0.0000642 seconds
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0005507 seconds, Stopping threads took: 0.0005015 seconds
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Application time: 0.0000301 seconds
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.317+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000989 seconds, Stopping threads took: 0.0000221 seconds
[2020-05-23T06:00:06.318+0000][364][safepoint    ] Application time: 0.0009312 seconds
[2020-05-23T06:00:06.329+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0112502 seconds, Stopping threads took: 0.0111381 seconds
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Application time: 0.0000642 seconds
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0000978 seconds, Stopping threads took: 0.0000402 seconds
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Application time: 0.0000779 seconds
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Entering safepoint region: RevokeBias
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Leaving safepoint region
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Total time for which application threads were stopped: 0.0001496 seconds, Stopping threads took: 0.0000891 seconds
[2020-05-23T06:00:06.330+0000][364][safepoint    ] Application time: 0.0000381 seconds
